ms,dBFS,chunks
50,-32,248
50,-31,249
50,-30,254
50,-29,253
50,-28,249
50,-27,246
50,-26,243
50,-25,231
50,-24,218
50,-23,210
50,-22,174
50,-21,174
50,-20,152
50,-19,107
50,-18,62
50,-17,44
50,-16,29
100,-32,235
100,-31,236
100,-30,229
100,-29,220
100,-28,215
100,-27,207
100,-26,205
100,-25,201
100,-24,190
100,-23,163
100,-22,144
100,-21,112
100,-20,80
100,-19,51
100,-18,42
100,-17,16
100,-16,2
150,-32,216
150,-31,217
150,-30,213
150,-29,213
150,-28,201
150,-27,201
150,-26,200
150,-25,184
150,-24,167
150,-23,147
150,-22,118
150,-21,85
150,-20,58
150,-19,29
150,-18,14
150,-17,6
150,-16,1
200,-32,201
200,-31,208
200,-30,198
200,-29,189
200,-28,193
200,-27,198
200,-26,183
200,-25,172
200,-24,152
200,-23,121
200,-22,85
200,-21,76
200,-20,28
200,-19,14
200,-18,2
200,-17,2
200,-16,2
250,-32,199
250,-31,199
250,-30,197
250,-29,187
250,-28,186
250,-27,185
250,-26,177
250,-25,159
250,-24,128
250,-23,90
250,-22,81
250,-21,30
250,-20,18
250,-19,6
250,-18,2
250,-17,2
250,-16,0
300,-32,198
300,-31,197
300,-30,196
300,-29,187
300,-28,186
300,-27,179
300,-26,164
300,-25,133
300,-24,94
300,-23,83
300,-22,38
300,-21,25
300,-20,9
300,-19,1
300,-18,1
300,-17,2
300,-16,0
350,-32,196
350,-31,194
350,-30,186
350,-29,185
350,-28,182
350,-27,172
350,-26,145
350,-25,109
350,-24,90
350,-23,68
350,-22,27
350,-21,13
350,-20,1
350,-19,1
350,-18,1
350,-17,1
350,-16,0
400,-32,193
400,-31,189
400,-30,183
400,-29,185
400,-28,176
400,-27,162
400,-26,132
400,-25,93
400,-24,83
400,-23,39
400,-22,22
400,-21,5
400,-20,1
400,-19,1
400,-18,1
400,-17,1
400,-16,0
450,-32,190
450,-31,181
450,-30,181
450,-29,180
450,-28,167
450,-27,142
450,-26,104
450,-25,88
450,-24,67
450,-23,26
450,-22,13
450,-21,1
450,-20,1
450,-19,1
450,-18,1
450,-17,1
450,-16,0
500,-32,186
500,-31,180
500,-30,179
500,-29,170
500,-28,161
500,-27,132
500,-26,95
500,-25,82
500,-24,41
500,-23,24
500,-22,6
500,-21,1
500,-20,1
500,-19,1
500,-18,1
500,-17,1
500,-16,0
550,-32,169
550,-31,174
550,-30,176
550,-29,167
550,-28,142
550,-27,110
550,-26,92
550,-25,68
550,-24,29
550,-23,13
550,-22,1
550,-21,1
550,-20,1
550,-19,1
550,-18,1
550,-17,1
550,-16,0
600,-32,161
600,-31,166
600,-30,165
600,-29,155
600,-28,132
600,-27,98
600,-26,87
600,-25,53
600,-24,26
600,-23,10
600,-22,1
600,-21,1
600,-20,1
600,-19,1
600,-18,1
600,-17,1
600,-16,0
650,-32,152
650,-31,155
650,-30,154
650,-29,147
650,-28,122
650,-27,93
650,-26,82
650,-25,41
650,-24,16
650,-23,1
650,-22,1
650,-21,1
650,-20,1
650,-19,1
650,-18,1
650,-17,0
650,-16,0
700,-32,142
700,-31,144
700,-30,140
700,-29,126
700,-28,103
700,-27,85
700,-26,73
700,-25,31
700,-24,14
700,-23,1
700,-22,1
700,-21,1
700,-20,1
700,-19,1
700,-18,1
700,-17,0
700,-16,0
750,-32,135
750,-31,139
750,-30,132
750,-29,116
750,-28,86
750,-27,77
750,-26,63
750,-25,30
750,-24,14
750,-23,1
750,-22,1
750,-21,1
750,-20,1
750,-19,1
750,-18,1
750,-17,0
750,-16,0
